run_id,model,condition,task,task_complexity,rep,duration_ms,json_valid,json_error,rule_01_verdict,rule_01_detail,rule_02_verdict,rule_02_detail,rule_03_verdict,rule_03_detail,rule_04_verdict,rule_04_detail,rule_05_verdict,rule_05_detail,rule_06_verdict,rule_06_detail,rule_07_verdict,rule_07_detail,rule_08_verdict,rule_08_detail,rule_09_verdict,rule_09_detail,rule_10_verdict,rule_10_detail,rule_11_verdict,rule_11_detail,rule_12_verdict,rule_12_detail,rule_13_verdict,rule_13_detail,rule_14_verdict,rule_14_detail,rule_15_verdict,rule_15_detail,pass_count,fail_count,absent_count,deep_score,deep_score_pct,coverage
haiku_none_task1_rep1,haiku,none,1,simple,1,10211,True,,fail,"saturated colors: #4a90e2, #e94b3c",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,title present (30 chars),absent,no source field found anywhere,pass,sans-serif: sans-serif,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),fail,1 series with legend (should use direct labels),absent,no dimensions found,7,3,5,7,0.467,0.667
haiku_none_task1_rep2,haiku,none,1,simple,2,13673,True,,fail,neon/primary colors: #3b82f6,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),fail,title too short (19 chars): '2023 GDP by Economy',pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,8,3,4,8,0.533,0.733
haiku_none_task1_rep3,haiku,none,1,simple,3,25179,True,,fail,neon/primary colors: #ff6b6b,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,title present (30 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,3 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,9,2,4,9,0.6,0.733
haiku_none_task2_rep1,haiku,none,2,medium,1,17927,True,,fail,"saturated colors: #22c55e, #2563eb, #dc2626",pass,highlight/accent present and <=2,fail,red (#dc2626) + green (#22c55e) both present,pass,single chart (auto-pass),pass,insight title (48 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),fail,1 series with legend (should use direct labels),absent,no dimensions found,5,4,6,5,0.333,0.6
haiku_none_task2_rep2,haiku,none,2,medium,2,11488,True,,fail,neon/primary colors: #ff6b6b,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (52 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),fail,2 series with legend (should use direct labels),absent,no dimensions found,6,3,6,6,0.4,0.6
haiku_none_task2_rep3,haiku,none,2,medium,3,14816,True,,fail,"neon/primary colors: #ffc107, #2196f3, #ff5722",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (36 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),fail,2 series with legend (should use direct labels),absent,no dimensions found,6,3,6,6,0.4,0.6
haiku_none_task3_rep1,haiku,none,3,complex,1,11229,True,,fail,"neon/primary colors: #ff9900, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (43 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,3 series with legend (acceptable),absent,no dimensions found,7,2,6,7,0.467,0.6
haiku_none_task3_rep2,haiku,none,3,complex,2,12256,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (49 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,3 series with legend (acceptable),absent,no dimensions found,8,2,5,8,0.533,0.667
haiku_none_task3_rep3,haiku,none,3,complex,3,11204,True,,fail,"neon/primary colors: #ff9900, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (43 chars),pass,"source: 'Company earnings reports, 2023-2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,3 series with legend (acceptable),absent,no dimensions found,8,2,5,8,0.533,0.667
opus_none_task1_rep1,opus,none,1,simple,1,13183,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,insight title (40 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,pass,y domain starts at 0,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,8,1,6,8,0.533,0.6
opus_none_task1_rep2,opus,none,1,simple,2,46443,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,insight title (40 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,absent,bar chart with no explicit y-axis config,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,7,1,7,7,0.467,0.533
opus_none_task1_rep3,opus,none,1,simple,3,35010,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,insight title (40 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,absent,bar chart with no explicit y-axis config,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,7,1,7,7,0.467,0.533
opus_none_task2_rep1,opus,none,2,medium,1,18556,True,,pass,1 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),fail,label-style title: 'Growth of AI Model Sizes',pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
opus_none_task2_rep2,opus,none,2,medium,2,17933,True,,fail,saturated colors: #2563eb,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (36 chars),pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,pass,8 points with labels configured,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,10,1,4,10,0.667,0.733
opus_none_task2_rep3,opus,none,2,medium,3,18022,True,,fail,saturated colors: #2563eb,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (36 chars),pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,9,2,4,9,0.6,0.733
opus_none_task3_rep1,opus,none,3,complex,1,21432,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (38 chars),pass,"source: 'Company earnings reports, 2023–2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
opus_none_task3_rep2,opus,none,3,complex,2,23645,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (38 chars),pass,"source: 'Company earnings reports, 2023–2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
opus_none_task3_rep3,opus,none,3,complex,3,22346,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (38 chars),pass,"source: 'Company earnings reports, 2023–2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
zai-coding-plan-glm-4.7-flash_none_task1_rep1,zai-coding-plan/glm-4.7-flash,none,1,simple,1,66645,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task1_rep2,zai-coding-plan/glm-4.7-flash,none,1,simple,2,35620,True,,absent,no data colors found,absent,no highlight data found,absent,no colors to evaluate,pass,single chart (auto-pass),absent,no title found,absent,no source field found anywhere,absent,no font specified,absent,can't determine data count,pass,n/a (chart type: unknown),absent,no spine config found,absent,no grid color specified,absent,unit in 0 location(s) — insufficient data,fail,"no annotations, highlights, or emphasis found",absent,can't determine series count,absent,no dimensions found,2,1,12,2,0.133,0.2
zai-coding-plan-glm-4.7-flash_none_task1_rep3,zai-coding-plan/glm-4.7-flash,none,1,simple,3,33238,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task2_rep1,zai-coding-plan/glm-4.7-flash,none,2,medium,1,24719,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task2_rep2,zai-coding-plan/glm-4.7-flash,none,2,medium,2,16975,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task2_rep3,zai-coding-plan/glm-4.7-flash,none,2,medium,3,86298,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task3_rep1,zai-coding-plan/glm-4.7-flash,none,3,complex,1,22142,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task3_rep2,zai-coding-plan/glm-4.7-flash,none,3,complex,2,26377,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task3_rep3,zai-coding-plan/glm-4.7-flash,none,3,complex,3,22194,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-5_none_task1_rep1,zai-coding-plan/glm-5,none,1,simple,1,19672,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,title present (30 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,absent,bar chart with no explicit y-axis config,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,7,1,7,7,0.467,0.533
zai-coding-plan-glm-5_none_task1_rep2,zai-coding-plan/glm-5,none,1,simple,2,11152,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),fail,title too short (19 chars): '2023 GDP by Economy',pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,6,2,7,6,0.4,0.533
zai-coding-plan-glm-5_none_task1_rep3,zai-coding-plan/glm-5,none,1,simple,3,12609,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,title present (30 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,8,1,6,8,0.533,0.6
zai-coding-plan-glm-5_none_task2_rep1,zai-coding-plan/glm-5,none,2,medium,1,21470,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),fail,label-style title: 'Growth of AI Model Sizes',pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,6,2,7,6,0.4,0.533
zai-coding-plan-glm-5_none_task2_rep2,zai-coding-plan/glm-5,none,2,medium,2,21813,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),fail,label-style title: 'Growth of AI Model Sizes',pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,6,2,7,6,0.4,0.533
zai-coding-plan-glm-5_none_task2_rep3,zai-coding-plan/glm-5,none,2,medium,3,37774,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),fail,label-style title: 'Growth of AI Model Sizes',pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,7,2,6,7,0.467,0.6
zai-coding-plan-glm-5_none_task3_rep1,zai-coding-plan/glm-5,none,3,complex,1,37348,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,insight title (32 chars),pass,"source: 'Company earnings reports, 2023-2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,7,1,7,7,0.467,0.533
zai-coding-plan-glm-5_none_task3_rep2,zai-coding-plan/glm-5,none,3,complex,2,32977,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (32 chars),pass,"source: 'Company earnings reports, 2023-2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,3 series with legend (acceptable),absent,no dimensions found,8,2,5,8,0.533,0.667
zai-coding-plan-glm-5_none_task3_rep3,zai-coding-plan/glm-5,none,3,complex,3,69623,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (33 chars),pass,"source: 'Company earnings reports, 2023-2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
