run_id,model,condition,task,task_complexity,rep,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_cost_usd,json_valid,json_error,rule_01_verdict,rule_01_detail,rule_02_verdict,rule_02_detail,rule_03_verdict,rule_03_detail,rule_04_verdict,rule_04_detail,rule_05_verdict,rule_05_detail,rule_06_verdict,rule_06_detail,rule_07_verdict,rule_07_detail,rule_08_verdict,rule_08_detail,rule_09_verdict,rule_09_detail,rule_10_verdict,rule_10_detail,rule_11_verdict,rule_11_detail,rule_12_verdict,rule_12_detail,rule_13_verdict,rule_13_detail,rule_14_verdict,rule_14_detail,rule_15_verdict,rule_15_detail,pass_count,fail_count,absent_count,deep_score,deep_score_pct,coverage
haiku_markdown_task1_rep1,haiku,markdown,1,simple,1,15413,10,2019,65540,4957,0.02285525,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (55 chars),absent,no source field found anywhere,pass,"sans-serif: system-ui, sans-serif",fail,5 points but no label config,pass,scale.zero=true,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 3 places: axis, subtitle, title",pass,"accent colors in data: #c74634, #1a476f, #5d666f",pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.67 in [0.8, 2.5]",12,2,1,12,0.8,0.933
haiku_markdown_task1_rep2,haiku,markdown,1,simple,2,14145,10,1756,69520,869,0.016828250000000003,True,,pass,2 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (52 chars),absent,no source field found anywhere,pass,"sans-serif: inter, helvetica, sans-serif",fail,5 points but no label config,fail,y domain starts at True,absent,no spine config found,pass,grid opacity=0.3 (subtle),fail,"unit appears in 3 places: axis, subtitle, title",pass,2 highlight flag(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.67 in [0.8, 2.5]",10,3,2,10,0.667,0.867
haiku_markdown_task1_rep3,haiku,markdown,1,simple,3,13788,10,1622,69520,556,0.015767,True,,pass,4 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (53 chars),pass,"source: 'IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,5 points with labels configured,pass,n/a (chart type: unknown),absent,no spine config found,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 3 places: axis, subtitle, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,ratio 1.33 (acceptable),13,1,1,13,0.867,0.933
haiku_markdown_task2_rep1,haiku,markdown,2,medium,1,12439,3,1419,30780,4091,0.015289750000000001,True,,pass,4 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (76 chars),pass,"source: 'Epoch AI, Trends in Machine Learning, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),absent,no spine config found,pass,gridlines disabled,pass,"unit in 2 locations: axis, subtitle",pass,3 annotation(s),pass,"2 series, no legend (correct)",pass,line chart ratio 2.00 >= 1.2,14,0,1,14,0.933,0.933
haiku_markdown_task2_rep2,haiku,markdown,2,medium,2,29322,10,4468,69742,3134,0.0332417,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (45 chars),pass,"source: 'Epoch AI, Trends in Machine Learning 2024 | Chart: Claude Co'",pass,"sans-serif: sans-serif, inter, helvetica, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line_chart),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,2 annotation(s),absent,can't determine series count,pass,ratio 1.78 (acceptable),12,0,3,12,0.8,0.8
haiku_markdown_task2_rep3,haiku,markdown,2,medium,3,20735,10,2623,69742,1717,0.02224545,True,,pass,2 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (53 chars),pass,"source: 'Epoch AI, Trends in Machine Learning, 2024'",absent,no font specified,absent,can't determine data count,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,3 annotation(s),absent,can't determine series count,pass,line chart ratio 1.78 >= 1.2,9,0,6,9,0.6,0.6
haiku_markdown_task3_rep1,haiku,markdown,3,complex,1,21881,10,2912,65713,5684,0.028246299999999995,True,,pass,3 muted colors,absent,no highlight data found,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (47 chars),absent,no source field found anywhere,absent,no font specified,pass,"24 points (>8, labels optional)",pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #e0e0e0,pass,"unit in 2 locations: axis, subtitle",fail,"no annotations, highlights, or emphasis found",pass,"1 series, no legend (correct)",pass,line chart ratio 1.60 >= 1.2,11,1,3,11,0.733,0.8
haiku_markdown_task3_rep2,haiku,markdown,3,complex,2,21858,10,3277,69866,1854,0.0256991,True,,pass,3 muted colors,absent,no highlight data found,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (57 chars),absent,no source field found anywhere,absent,no font specified,pass,"24 points (>8, labels optional)",pass,n/a (chart type: line),pass,top+right spines removed,pass,grid opacity=0.2 (subtle),absent,unit in 1 location(s) — insufficient data,fail,"no annotations, highlights, or emphasis found",fail,1 series with legend (should use direct labels),pass,line chart ratio 1.78 >= 1.2,9,2,4,9,0.6,0.733
haiku_markdown_task3_rep3,haiku,markdown,3,complex,3,24753,10,2912,69866,1906,0.023939099999999998,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (56 chars),pass,"source: 'Company earnings reports, 2023–2024'",pass,"sans-serif: inter, helvetica, sans-serif",absent,can't determine data count,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #e0e0e0,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),absent,can't determine series count,pass,line chart ratio 1.78 >= 1.2,12,0,3,12,0.8,0.8
haiku_none_task1_rep1,haiku,none,1,simple,1,10211,10,912,67084,636,0.0120734,True,,fail,"saturated colors: #4a90e2, #e94b3c",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,title present (30 chars),absent,no source field found anywhere,pass,sans-serif: sans-serif,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),fail,1 series with legend (should use direct labels),absent,no dimensions found,7,3,5,7,0.467,0.667
haiku_none_task1_rep2,haiku,none,1,simple,2,13673,10,1271,67084,622,0.0138509,True,,fail,neon/primary colors: #3b82f6,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),fail,title too short (19 chars): '2023 GDP by Economy',pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,8,3,4,8,0.533,0.733
haiku_none_task1_rep3,haiku,none,1,simple,3,25179,10,1548,67084,764,0.0154134,True,,fail,neon/primary colors: #ff6b6b,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,title present (30 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,3 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,9,2,4,9,0.6,0.733
haiku_none_task2_rep1,haiku,none,2,medium,1,17927,10,2395,67306,1247,0.02027435,True,,fail,"saturated colors: #2563eb, #22c55e, #dc2626",pass,highlight/accent present and <=2,fail,red (#dc2626) + green (#22c55e) both present,pass,single chart (auto-pass),pass,insight title (48 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),fail,1 series with legend (should use direct labels),absent,no dimensions found,5,4,6,5,0.333,0.6
haiku_none_task2_rep2,haiku,none,2,medium,2,11488,3,1252,33653,0,0.009628300000000001,True,,fail,neon/primary colors: #ff6b6b,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (52 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),fail,2 series with legend (should use direct labels),absent,no dimensions found,6,3,6,6,0.4,0.6
haiku_none_task2_rep3,haiku,none,2,medium,3,14816,10,2159,67306,1054,0.018853100000000005,True,,fail,"neon/primary colors: #ff5722, #2196f3, #ffc107",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (36 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),fail,2 series with legend (should use direct labels),absent,no dimensions found,6,3,6,6,0.4,0.6
haiku_none_task3_rep1,haiku,none,3,complex,1,11229,10,1185,67430,1017,0.013949250000000002,True,,fail,"neon/primary colors: #ff9900, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (43 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,3 series with legend (acceptable),absent,no dimensions found,7,2,6,7,0.467,0.6
haiku_none_task3_rep2,haiku,none,3,complex,2,12256,10,1390,67430,1153,0.015144250000000001,True,,fail,"neon/primary colors: #4285f4, #0078d4, #ff9900",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (49 chars),absent,no source field found anywhere,absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,3 series with legend (acceptable),absent,no dimensions found,8,2,5,8,0.533,0.667
haiku_none_task3_rep3,haiku,none,3,complex,3,11204,10,1295,67430,1019,0.01450175,True,,fail,"neon/primary colors: #ff9900, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (43 chars),pass,"source: 'Company earnings reports, 2023-2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,3 series with legend (acceptable),absent,no dimensions found,8,2,5,8,0.533,0.667
haiku_pseudocode_task1_rep1,haiku,pseudocode,1,simple,1,20727,10,1812,36098,37129,0.05909105,True,,pass,4 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (75 chars),pass,"source: 'IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, system-ui, -apple-system, sans-serif",pass,5 points with labels configured,pass,y min=0,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,pass,"unit in 2 locations: subtitle, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.78 in [0.8, 2.5]",15,0,0,15,1.0,1.0
haiku_pseudocode_task1_rep2,haiku,pseudocode,1,simple,2,58541,10,1164,32951,33819,0.05139885000000001,True,,pass,4 muted colors,fail,3 distinct accent colors in data,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (85 chars),pass,"source: 'IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, helvetica, arial, sans-serif",pass,5 points with labels configured,pass,y min=0,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,pass,"unit in 2 locations: subtitle, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.78 in [0.8, 2.5]",14,1,0,14,0.933,1.0
haiku_pseudocode_task1_rep3,haiku,pseudocode,1,simple,3,81731,10,1106,65902,870,0.013217700000000002,True,,pass,5 muted colors,fail,4 distinct accent colors in data,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (80 chars),pass,"source: 'IMF World Economic Outlook, 2024'",pass,"sans-serif: system-ui, -apple-system, sans-serif",pass,5 points with labels configured,pass,y min=0,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,pass,"unit in 2 locations: subtitle, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.78 in [0.8, 2.5]",14,1,0,14,0.933,1.0
haiku_pseudocode_task2_rep1,haiku,pseudocode,2,medium,1,59509,10,1558,0,55887,0.07765875,True,,pass,2 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (90 chars),pass,"source: 'Epoch AI, Trends in Machine Learning (2024)'",pass,"sans-serif: inter, -apple-system, blinkmacsystemfont, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,pass,"unit in 2 locations: subtitle, title",pass,1 annotation(s),pass,"2 series, no legend (correct)",pass,line chart ratio 2.00 >= 1.2,15,0,0,15,1.0,1.0
haiku_pseudocode_task2_rep2,haiku,pseudocode,2,medium,2,85176,10,1438,47812,8144,0.0221612,True,,pass,4 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (87 chars),pass,"source: 'Epoch AI, Trends in Machine Learning (2024)'",pass,"sans-serif: inter, helvetica, arial, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,pass,"unit in 2 locations: subtitle, title",pass,1 annotation(s),pass,"3 series, no legend (correct)",pass,line chart ratio 2.00 >= 1.2,15,0,0,15,1.0,1.0
haiku_pseudocode_task2_rep3,haiku,pseudocode,2,medium,3,66328,10,2648,51017,5653,0.02541795,True,,pass,2 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (96 chars),pass,"source: 'Epoch AI, Trends in Machine Learning 2024'",pass,"sans-serif: system-ui, -apple-system, 'helvetica neue', arial, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,pass,"unit in 2 locations: subtitle, title",pass,1 annotation(s),pass,"3 series, no legend (correct)",pass,line chart ratio 2.00 >= 1.2,15,0,0,15,1.0,1.0
haiku_pseudocode_task3_rep1,haiku,pseudocode,3,complex,1,76725,10,1425,48755,9018,0.023283,True,,pass,4 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (50 chars),pass,"source: 'Company earnings reports, 2023-2024'",pass,"sans-serif: inter, helvetica, arial, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",pass,line chart ratio 1.67 >= 1.2,14,0,1,14,0.933,0.933
haiku_pseudocode_task3_rep2,haiku,pseudocode,3,complex,2,20009,10,2073,64946,938,0.018042100000000002,True,,pass,4 muted colors,fail,3 data points flagged as highlight,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (58 chars),pass,source: 'Company earnings reports',pass,"sans-serif: inter, helvetica, arial, system-ui",fail,8 points but no label config,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",pass,line chart ratio 2.00 >= 1.2,12,2,1,12,0.8,0.933
haiku_pseudocode_task3_rep3,haiku,pseudocode,3,complex,3,21492,10,1352,56720,1013,0.013708250000000002,True,,pass,4 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (108 chars),pass,source: 'Company earnings reports',pass,sans-serif: system-ui,pass,8 points with labels configured,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",pass,line chart ratio 1.67 >= 1.2,14,0,1,14,0.933,0.933
opus_markdown_task1_rep1,opus,markdown,1,simple,1,17929,3,977,34753,0,0.0418165,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (50 chars),pass,"source: 'Source: IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,5 points with labels configured,absent,bar chart with no explicit y-axis config,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 4 places: axis, labels, subtitle, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.33 in [0.8, 2.5]",13,1,1,13,0.867,0.933
opus_markdown_task1_rep2,opus,markdown,1,simple,2,18706,3,1077,34753,0,0.0443165,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (50 chars),pass,"source: 'Source: IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,5 points with labels configured,absent,bar chart with no explicit y-axis config,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 3 places: axis, labels, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.33 in [0.8, 2.5]",13,1,1,13,0.867,0.933
opus_markdown_task1_rep3,opus,markdown,1,simple,3,21117,3,1292,34753,0,0.0496915,True,,pass,5 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (49 chars),pass,"source: 'Source: IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,5 points with labels configured,absent,bar chart with no explicit y-axis config,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 3 places: axis, labels, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.33 in [0.8, 2.5]",13,1,1,13,0.867,0.933
opus_markdown_task2_rep1,opus,markdown,2,medium,1,29903,3,1982,30773,4092,0.0905265,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (55 chars),pass,"source: 'Source: Epoch AI, ""Trends in Machine Learning"", 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,absent,unit in 1 location(s) — insufficient data,pass,3 annotation(s),pass,"2 series, no legend (correct)",pass,line chart ratio 1.78 >= 1.2,14,0,1,14,0.933,0.933
opus_markdown_task2_rep2,opus,markdown,2,medium,2,31703,3,2253,34865,0,0.07377249999999999,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (50 chars),pass,"source: 'Source: Epoch AI, ""Trends in Machine Learning"", 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,absent,unit in 0 location(s) — insufficient data,pass,2 annotation(s),pass,"2 series, no legend (correct)",pass,line chart ratio 1.78 >= 1.2,14,0,1,14,0.933,0.933
opus_markdown_task2_rep3,opus,markdown,2,medium,3,51525,3,2154,34865,0,0.0712975,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (55 chars),pass,"source: 'Source: Epoch AI, ""Trends in Machine Learning"", 2024'",pass,"sans-serif: inter, helvetica, arial, sans-serif",fail,8 points but no label config,pass,n/a (chart type: line),absent,spine config exists but unclear,pass,subtle grid colors: #d0d0d0,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),pass,"2 series, no legend (correct)",pass,line chart ratio 1.78 >= 1.2,12,1,2,12,0.8,0.867
